target_count,seed_index,semantic_equal,result_index,trial_count,L_BBHT,Normal-E1,K4/H4-E1,K4/H4-E4,K3/H3-E4,K3/H3-E4-M1,K3/H3-E4-M2
64,93,1,13012,10,14,27653,16194,13505,12396,9836,7738
64,94,1,507,13,21,38300,22683,16922,15350,12022,9870
64,95,1,507,20,75,104031,43482,29273,26740,21876,17573
64,96,1,13012,14,21,39826,22206,17213,16102,12518,9866
64,97,1,1801,16,33,54905,34026,22504,20558,16462,13742
64,98,1,491,10,7,20401,15138,13217,12108,9548,7388
64,99,1,5531,6,4,11939,11816,9895,8786,7250,6109
256,0,1,15288,8,7,18108,14898,12209,11100,9052,7045
256,1,1,5849,5,2,8854,10266,9113,8004,6724,5489
256,2,1,8081,7,3,12296,12694,10773,9664,7872,6422
256,3,1,16060,9,8,20334,16618,13161,12050,9746,7647
256,4,1,12680,12,17,33629,22484,16723,15322,12250,9480
256,5,1,7233,10,5,18367,15172,13251,12142,9582,7515
256,6,1,3716,7,7,16391,12657,10736,9627,7835,6385
256,7,1,3545,8,8,18141,13897,11208,10099,8051,6974
256,8,1,11907,10,8,22162,17935,14478,13367,10807,8027
256,9,1,12001,1,0,1446,5924,5539,4430,4174,3834
256,10,1,5451,4,2,7230,9152,7999,6890,5866,5126
256,11,1,873,12,19,35097,21741,15980,14720,11648,9443
256,12,1,90,5,3,9680,11095,9174,8065,6785,5736
256,13,1,7326,6,5,13225,12064,10143,9034,7498,6078
256,14,1,1930,6,7,15414,12186,10265,9156,7620,6107
256,15,1,13448,9,3,15198,14575,12654,11545,9241,7080
256,16,1,12329,6,4,11820,11693,9772,8663,7127,6048
256,17,1,6247,7,6,15736,13037,11116,10007,8215,6424
256,18,1,4389,7,4,13002,11329,10176,9067,7275,6135
256,19,1,13749,7,3,12652,13047,11126,10017,8225,6372
256,20,1,6940,9,9,21679,16929,13472,12363,10059,7650
256,21,1,2302,9,4,16458,16874,13417,12308,10004,7688
256,22,1,7844,9,7,18460,14743,12054,10945,8641,7379
256,23,1,6733,5,4,11055,11437,9516,8407,7127,5737
256,24,1,4724,8,10,20365,14056,11367,10258,8210,7009
256,25,1,9555,12,14,29978,19570,15345,14236,11164,8944
256,26,1,6702,9,6,17375,13653,11732,10623,8319,6995
256,27,1,10532,6,4,12093,11965,10044,8935,7399,6072
256,28,1,314,8,7,17881,13639,11718,10609,8561,6771
256,29,1,14410,7,6,16174,13470,11549,10440,8648,6392
256,30,1,4956,9,7,18803,15083,12394,11285,8981,7409
256,31,1,15859,9,10,22871,17087,13630,12519,10215,7651
256,32,1,11246,10,12,25510,17153,13696,12585,10025,8020
