target_count,seed_index,result_index,trial_count,L_BBHT,orca_sw_us,m2_hw_us,m2_vs_orca_speedup
64,15,7400,10,7,2334518,52,44894.57692307692
64,16,10839,13,30,6842528,105,65166.933333333334
64,17,6247,7,6,1853531,37,50095.43243243243
64,18,14542,9,8,2392569,48,49845.1875
64,19,4724,11,16,4122236,61,67577.6393442623
64,20,14542,13,20,5044255,66,76428.10606060606
64,21,11647,13,18,4653110,69,67436.37681159421
64,22,4724,8,6,1833525,43,42640.11627906977
64,23,16090,10,13,3574171,56,63824.482142857145
64,24,2888,3,2,631819,19,33253.63157894737
64,25,3073,6,3,1117877,32,34933.65625
64,26,8225,12,13,3544472,64,55382.375
64,27,173,10,11,3092305,46,67224.02173913043
64,28,10593,10,14,3585910,54,66405.74074074074
64,29,14542,7,6,1909592,36,53044.22222222222
64,30,3903,11,11,3090155,53,58304.811320754714
64,31,160,11,19,4639864,57,81401.12280701754
64,32,4720,2,1,407447,17,23967.470588235294
64,33,160,4,1,596706,23,25943.739130434784
64,34,6247,10,13,3462165,51,67885.58823529411
64,35,7400,13,18,4663512,72,64771.0
64,36,5531,14,23,5742279,80,71778.4875
64,37,8225,16,28,6760907,89,75965.24719101124
64,38,10931,10,17,4236187,56,75646.19642857143
64,39,2888,11,13,3555215,54,65837.31481481482
64,40,11272,10,9,2684174,85,31578.517647058823
64,41,4512,6,5,1499564,32,46861.375
64,42,507,10,8,2502808,54,46348.2962962963
64,43,11272,10,12,3209661,55,58357.472727272725
64,44,7400,11,8,2563831,53,48374.16981132075
64,45,7786,11,14,3584588,54,66381.25925925926
64,46,6247,9,10,2805709,48,58452.270833333336
64,47,5200,15,30,7011525,93,75392.74193548386
64,48,15288,13,13,3837386,69,55614.289855072464
64,49,10234,11,11,3264888,59,55337.08474576271
64,50,1038,16,32,7392653,93,79490.89247311828
64,51,14405,8,10,2618432,42,62343.619047619046
64,52,16090,16,43,9654609,102,94653.0294117647
64,53,15469,13,21,5229626,70,74708.94285714286
64,54,14405,9,13,3348407,48,69758.47916666667
64,55,11647,2,1,428458,17,25203.41176470588
64,56,7786,7,4,1480120,36,41114.444444444445
64,57,3876,12,15,3926140,63,62319.68253968254
64,58,8225,5,4,1279243,29,44111.8275862069
64,59,8225,11,14,3784166,56,67574.39285714286
64,60,3903,2,1,373498,17,21970.470588235294
64,61,13012,10,13,3518480,50,70369.6
64,62,15288,5,4,1306445,31,42143.3870967742
64,63,14567,10,11,3010955,55,54744.63636363636
64,64,1801,10,10,2857406,83,34426.57831325301
64,65,26,15,28,6620734,77,85983.55844155845
64,66,9302,13,26,6006607,75,80088.09333333334
64,67,682,11,15,3847892,57,67506.87719298246
64,68,1825,12,24,5657961,64,88405.640625
