m,seed_idx,mode,result_index,trial,l_bbht,iter,cycles,policy_cycles,policy_stall,policy_actions,cold,spec,mismatch
16,4,normal,4512,14,27,27,13683,0,0,0,0,0,0
16,4,k4,4512,14,27,7,6914,1807,136,270,1,14,0
16,5,normal,10839,15,18,18,11848,0,0,0,0,0,0
16,5,k4,10839,15,18,5,6791,2032,122,267,1,15,0
16,6,normal,3947,17,68,68,25892,0,0,0,0,0,0
16,6,k4,3947,17,68,18,10941,3508,267,525,1,17,0
16,7,normal,5281,12,25,25,12157,0,0,0,0,0,0
16,7,k4,5281,12,25,7,6200,2033,170,304,1,12,0
16,8,normal,2852,14,32,32,15130,0,0,0,0,0,0
16,8,k4,2852,14,32,7,6995,2250,97,346,1,14,0
16,9,normal,3947,12,20,20,10931,0,0,0,0,0,0
16,9,k4,3947,12,20,6,5955,1398,95,141,1,12,0
16,10,normal,14405,15,35,35,16137,0,0,0,0,0,0
16,10,k4,14405,15,35,11,8255,2299,208,276,1,15,0
16,11,normal,1721,17,57,57,22990,0,0,0,0,0,0
16,11,k4,1721,17,57,11,9155,2939,331,402,1,17,0
16,12,normal,5281,16,28,28,14839,0,0,0,0,0,0
16,12,k4,5281,16,28,12,9058,2331,312,282,1,16,0
16,13,normal,10593,16,43,43,18917,0,0,0,0,0,0
16,13,k4,10593,16,43,10,8415,2182,100,281,1,16,0
16,14,normal,4724,19,71,71,27692,0,0,0,0,0,0
16,14,k4,4724,19,71,17,11445,2804,289,377,1,19,0
16,15,normal,14405,21,85,85,32348,0,0,0,0,0,0
16,15,k4,14405,21,85,39,18415,4503,463,729,1,21,0
16,16,normal,10931,13,30,30,14052,0,0,0,0,0,0
16,16,k4,10931,13,30,8,9960,5152,3218,213,1,13,0
16,17,normal,5281,11,13,13,8564,0,0,0,0,0,0
16,17,k4,5281,11,13,4,5069,1674,126,233,1,11,0
16,18,normal,5281,14,27,27,13629,0,0,0,0,0,0
